feature,importance,importance_pct
Age,0.2511731385619933,25.11731385619933
Balance,0.1403365978670617,14.03365978670617
EstimatedSalary,0.13919725295433105,13.919725295433105
CreditScore,0.1341749358152735,13.417493581527351
NumOfProducts,0.12789196310268242,12.789196310268242
Tenure,0.08292406295374247,8.292406295374247
IsActiveMember,0.03585187864082506,3.5851878640825063
Geography_Germany,0.026172019034605698,2.61720190346057
HasCrCard,0.01818501906107099,1.8185019061070988
Geography_France,0.012593245273660292,1.2593245273660292
Gender_Female,0.01076611580122385,1.076611580122385
Gender_Male,0.010577553781880997,1.0577553781880997
Geography_Spain,0.010156217151648772,1.0156217151648772
